🕘️更新时间,#genre#
2025-12-08 13:00:51,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub

📺央视频道,#genre#
CCTV-1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-1,http://42.48.106.93:808/hls/1/index.m3u8
CCTV-1,http://223.95.198.3:8000/hls/1/index.m3u8
CCTV-1,http://124.93.18.238:81/hls/1/index.m3u8
CCTV-1,http://27.41.244.148:801/hls/1/index.m3u8
CCTV-1,http://27.41.245.32:801/hls/1/index.m3u8
CCTV-1,http://61.138.82.196:808/hls/1/index.m3u8
CCTV-1,http://42.48.106.138:808/hls/1/index.m3u8
CCTV-1,http://61.182.89.14:808/hls/1/index.m3u8
CCTV-1,http://122.226.23.150:8888/hls/1/index.m3u8
CCTV-2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV-2,http://223.95.198.3:8000/hls/2/index.m3u8
CCTV-2,http://124.93.18.238:81/hls/2/index.m3u8
CCTV-2,http://61.138.82.196:808/hls/2/index.m3u8
CCTV-2,http://27.41.245.32:801/hls/2/index.m3u8
CCTV-2,http://183.221.211.20:808/hls/2/index.m3u8
CCTV-2,http://27.41.244.148:801/hls/2/index.m3u8
CCTV-2,http://42.48.106.93:808/hls/2/index.m3u8
CCTV-2,http://42.48.106.138:808/hls/2/index.m3u8
CCTV-2,http://122.226.23.150:8888/hls/2/index.m3u8
CCTV-3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV-3,http://42.48.106.93:808/hls/3/index.m3u8
CCTV-3,http://27.41.244.148:801/hls/3/index.m3u8
CCTV-3,http://27.41.245.32:801/hls/3/index.m3u8
CCTV-3,http://223.95.198.3:8000/hls/3/index.m3u8
CCTV-3,http://61.138.82.196:808/hls/3/index.m3u8
CCTV-3,http://124.93.18.238:81/hls/3/index.m3u8
CCTV-3,http://42.48.106.138:808/hls/3/index.m3u8
CCTV-3,http://122.226.23.150:8888/hls/3/index.m3u8
CCTV-3,http://125.40.199.223:8092/hls/3/index.m3u8
CCTV-4,http://223.95.198.3:8000/hls/18/index.m3u8
CCTV-4,http://223.95.198.3:8000/hls/4/index.m3u8
CCTV-4,http://61.138.82.196:808/hls/4/index.m3u8
CCTV-4,http://27.41.245.32:801/hls/4/index.m3u8
CCTV-4,http://42.48.106.93:808/hls/4/index.m3u8
CCTV-4,http://27.41.244.148:801/hls/4/index.m3u8
CCTV-4,http://183.221.211.20:808/hls/4/index.m3u8
CCTV-4,http://124.93.18.238:81/hls/21/index.m3u8
CCTV-4,http://42.48.106.138:808/hls/4/index.m3u8
CCTV-4,http://124.93.18.238:81/hls/4/index.m3u8
CCTV-5,http://223.95.198.3:8000/hls/5/index.m3u8
CCTV-5,http://113.200.114.168:20000/hls/5/index.m3u8
CCTV-5,http://27.41.244.148:801/hls/5/index.m3u8
CCTV-5,http://27.41.245.32:801/hls/5/index.m3u8
CCTV-5,http://61.138.82.196:808/hls/5/index.m3u8
CCTV-5,http://61.182.89.14:808/hls/5/index.m3u8
CCTV-5,http://183.221.211.20:808/hls/5/index.m3u8
CCTV-5,http://124.93.18.238:81/hls/5/index.m3u8
CCTV-5,http://42.49.176.221:808/hls/6/index.m3u8
CCTV-5,http://183.3.202.19:2380/c3.cdn.hunancatv.com/live/CCTV5HD.m3u8
CCTV-5+,http://42.48.106.93:808/hls/6/index.m3u8
CCTV-5+,http://183.221.211.20:808/hls/18/index.m3u8
CCTV-5+,http://42.48.106.138:808/hls/6/index.m3u8
CCTV-5+,http://124.93.18.238:81/hls/18/index.m3u8
CCTV-5+,http://61.182.89.14:808/hls/17/index.m3u8
CCTV-5+,http://125.40.199.223:8092/hls/17/index.m3u8
CCTV-5+,http://61.163.179.201:808/hls/25/index.m3u8
CCTV-5+,http://39.164.138.145:8899/hls/18/index.m3u8
CCTV-5+,http://111.43.126.240:7777/hls/18/index.m3u8
CCTV-5+,http://183.3.202.19:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-5plusH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-6,http://42.48.106.93:808/hls/7/index.m3u8
CCTV-6,http://61.138.82.196:808/hls/6/index.m3u8
CCTV-6,http://27.41.245.32:801/hls/6/index.m3u8
CCTV-6,http://27.41.244.148:801/hls/6/index.m3u8
CCTV-6,http://183.221.211.20:808/hls/6/index.m3u8
CCTV-6,http://223.95.198.3:8000/hls/6/index.m3u8
CCTV-6,http://42.48.106.138:808/hls/7/index.m3u8
CCTV-6,http://61.182.89.14:808/hls/6/index.m3u8
CCTV-6,http://124.93.18.238:81/hls/6/index.m3u8
CCTV-6,http://125.40.199.223:8092/hls/6/index.m3u8
CCTV-7,http://42.48.106.93:808/hls/8/index.m3u8
CCTV-7,http://27.41.245.32:801/hls/7/index.m3u8
CCTV-7,http://61.138.82.196:808/hls/7/index.m3u8
CCTV-7,http://124.93.18.238:81/hls/7/index.m3u8
CCTV-7,http://183.221.211.20:808/hls/7/index.m3u8
CCTV-7,http://27.41.244.148:801/hls/7/index.m3u8
CCTV-7,http://223.95.198.3:8000/hls/7/index.m3u8
CCTV-7,http://122.226.23.150:8888/hls/7/index.m3u8
CCTV-7,http://59.45.161.118:8877/hls/7/index.m3u8
CCTV-7,http://42.48.106.138:808/hls/8/index.m3u8
CCTV-8,http://223.95.198.3:8000/hls/8/index.m3u8
CCTV-8,http://42.48.106.93:808/hls/9/index.m3u8
CCTV-8,http://27.41.244.148:801/hls/8/index.m3u8
CCTV-8,http://183.221.211.20:808/hls/8/index.m3u8
CCTV-8,http://27.41.245.32:801/hls/8/index.m3u8
CCTV-8,http://61.138.82.196:808/hls/8/index.m3u8
CCTV-8,http://42.48.106.138:808/hls/9/index.m3u8
CCTV-8,http://124.93.18.238:81/hls/8/index.m3u8
CCTV-8,http://122.226.23.150:8888/hls/8/index.m3u8
CCTV-8,http://125.40.199.223:8092/hls/8/index.m3u8
CCTV-9,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV-9,http://42.48.106.93:808/hls/10/index.m3u8
CCTV-9,http://61.138.82.196:808/hls/9/index.m3u8
CCTV-9,http://124.93.18.238:81/hls/9/index.m3u8
CCTV-9,http://27.41.245.32:801/hls/9/index.m3u8
CCTV-9,http://183.221.211.20:808/hls/9/index.m3u8
CCTV-9,http://27.41.244.148:801/hls/9/index.m3u8
CCTV-9,http://223.95.198.3:8000/hls/9/index.m3u8
CCTV-9,http://42.48.106.138:808/hls/10/index.m3u8
CCTV-9,http://122.226.23.150:8888/hls/9/index.m3u8
CCTV-10,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV-10,http://223.95.198.3:8000/hls/10/index.m3u8
CCTV-10,http://27.41.244.148:801/hls/10/index.m3u8
CCTV-10,http://42.48.106.93:808/hls/11/index.m3u8
CCTV-10,http://27.41.245.32:801/hls/10/index.m3u8
CCTV-10,http://61.138.82.196:808/hls/10/index.m3u8
CCTV-10,http://124.93.18.238:81/hls/10/index.m3u8
CCTV-10,http://183.221.211.20:808/hls/10/index.m3u8
CCTV-10,http://42.48.106.138:808/hls/11/index.m3u8
CCTV-10,http://122.226.23.150:8888/hls/10/index.m3u8
CCTV-11,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009
CCTV-11,http://42.48.106.93:808/hls/12/index.m3u8
CCTV-11,http://61.138.82.196:808/hls/11/index.m3u8
CCTV-11,http://183.221.211.20:808/hls/11/index.m3u8
CCTV-11,http://124.93.18.238:81/hls/11/index.m3u8
