🕘️更新时间,#genre#
2026-01-18 06:55:15,https://live.catvod.com/iptv.php?id=rthk33

📺央视频道,#genre#
CCTV-1,https://live.catvod.com/iptv.php?id=rthk33
CCTV-1,http://23.237.228.134/live5/CCTV1.m3u8
CCTV-1,http://125.41.254.181:8090/hls/1/index.m3u8
CCTV-1,http://114.252.242.235:10443/hls/1/index.m3u8
CCTV-1,http://42.227.88.162:8888/hls/1/index.m3u8
CCTV-1,http://61.52.83.220:8888/hls/1/index.m3u8
CCTV-1,http://221.15.23.191:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://222.142.184.102:8888/hls/1/index.m3u8
CCTV-1,http://116.2.186.214:808/hls/1/index.m3u8
CCTV-1,http://111.14.186.11:5001/hls/1/index.m3u8
CCTV-2,http://pull-hls-f1.douyincdn.com/media/stream-695106910011261612/playlist.m3u8?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-20260114100308192594C57677D9CCE8DA-vujvxt&wsSecret=5aec4b2fd09a7a40920df80db1862da9&wsTime=6966f95d
CCTV-2,http://223.95.198.3:8000/hls/2/index.m3u8
CCTV-2,http://23.237.228.134/live5/CCTV2.m3u8
CCTV-2,http://125.41.254.181:8090/hls/2/index.m3u8
CCTV-2,http://27.41.244.148:801/hls/2/index.m3u8
CCTV-2,http://114.252.242.235:10443/hls/2/index.m3u8
CCTV-2,http://222.142.184.102:8888/hls/2/index.m3u8
CCTV-2,http://111.14.186.11:5001/hls/2/index.m3u8
CCTV-2,http://221.15.23.191:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://61.138.82.196:808/hls/2/index.m3u8
CCTV-3,http://23.237.228.134/live5/CCTV3.m3u8
CCTV-3,http://125.41.254.181:8090/hls/3/index.m3u8
CCTV-3,http://111.14.186.11:5001/hls/3/index.m3u8
CCTV-3,http://42.227.88.162:8888/hls/3/index.m3u8
CCTV-3,http://222.142.184.102:8888/hls/21/index.m3u8
CCTV-3,http://61.52.83.220:8888/hls/3/index.m3u8
CCTV-3,http://221.15.23.191:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://61.138.82.196:808/hls/3/index.m3u8
CCTV-3,http://116.2.186.214:808/hls/3/index.m3u8
CCTV-3,http://222.160.247.75:81/hls/3/index.m3u8
CCTV-4,http://27.41.244.148:801/hls/4/index.m3u8
